size;resolution;mask_size;nanoseconds
3;320x180;3x3;16201600
3;320x180;5x5;45201200
3;320x180;7x7;93530600
3;320x180;9x9;151869100
3;320x180;11x11;217396200
3;320x180;13x13;312130300
3;320x180;15x15;426728400
2;160x90;3x3;3571500
2;160x90;5x5;12089100
2;160x90;7x7;24682700
2;160x90;9x9;48415700
2;160x90;11x11;63317900
2;160x90;13x13;82574400
2;160x90;15x15;107095500
1;80x45;3x3;1090100
1;80x45;5x5;2568500
1;80x45;7x7;8918500
1;80x45;9x9;6730600
1;80x45;11x11;15711500
1;80x45;13x13;19488500
1;80x45;15x15;27774900
5;1280x720;3x3;252789000
5;1280x720;5x5;763994600
5;1280x720;7x7;1443000500
5;1280x720;9x9;2309710200
5;1280x720;11x11;3620026500
5;1280x720;13x13;5090596700
5;1280x720;15x15;7008134600
4;640x360;3x3;67513300
4;640x360;5x5;187373100
4;640x360;7x7;343064000
4;640x360;9x9;664773200
4;640x360;11x11;962511500
4;640x360;13x13;1299890900
4;640x360;15x15;1725093800
3;320x180;3x3;17997500
3;320x180;5x5;42946600
3;320x180;7x7;95887900
3;320x180;9x9;159679800
3;320x180;11x11;218374500
3;320x180;13x13;272511100
3;320x180;15x15;366073900
2;160x90;3x3;3165100
2;160x90;5x5;9090400
2;160x90;7x7;21650900
2;160x90;9x9;37170100
2;160x90;11x11;47525700
2;160x90;13x13;78613700
2;160x90;15x15;106431000
1;80x45;3x3;718800
1;80x45;5x5;3024700
1;80x45;7x7;6822700
1;80x45;9x9;7296400
1;80x45;11x11;14556300
1;80x45;13x13;21368000
1;80x45;15x15;25876700
5;1280x720;3x3;266990800
5;1280x720;5x5;755612900
5;1280x720;7x7;1473140400
5;1280x720;9x9;2596415200
5;1280x720;11x11;3796078600
5;1280x720;13x13;5025354200
5;1280x720;15x15;6847119600
4;640x360;3x3;57854400
4;640x360;5x5;183420700
4;640x360;7x7;370134300
4;640x360;9x9;579932400
4;640x360;11x11;928394600
4;640x360;13x13;1321458500
4;640x360;15x15;2012697700
3;320x180;3x3;16537700
3;320x180;5x5;38890700
3;320x180;7x7;80875400
3;320x180;9x9;140411600
3;320x180;11x11;238797600
3;320x180;13x13;326150000
3;320x180;15x15;418251800
2;160x90;3x3;3747400
2;160x90;5x5;11376600
2;160x90;7x7;24561300
2;160x90;9x9;34434100
2;160x90;11x11;59322400
2;160x90;13x13;80075600
2;160x90;15x15;113231400
1;80x45;3x3;1092000
1;80x45;5x5;2455100
1;80x45;7x7;4422900
1;80x45;9x9;9864300
1;80x45;11x11;11557500
1;80x45;13x13;19974400
1;80x45;15x15;26152200
5;1280x720;3x3;263649000
5;1280x720;5x5;788783600
5;1280x720;7x7;1487564000
5;1280x720;9x9;2553310000
5;1280x720;11x11;5009420700
5;1280x720;13x13;6117022100
5;1280x720;15x15;7880891400
4;640x360;3x3;58446000
4;640x360;5x5;184187700
4;640x360;7x7;319839100
4;640x360;9x9;690170100
4;640x360;11x11;1492312300
4;640x360;13x13;1846297300
4;640x360;15x15;1683287000
3;320x180;3x3;17613600
3;320x180;5x5;49005300
3;320x180;7x7;92685900
3;320x180;9x9;151285700
3;320x180;11x11;210890700
3;320x180;13x13;295815000
3;320x180;15x15;420046400
2;160x90;3x3;4530200
2;160x90;5x5;12666000
2;160x90;7x7;24707400
2;160x90;9x9;37433700
2;160x90;11x11;44884200
2;160x90;13x13;68440900
2;160x90;15x15;96408800
1;80x45;3x3;777900
1;80x45;5x5;2257000
1;80x45;7x7;4623300
1;80x45;9x9;7621500
1;80x45;11x11;11229300
1;80x45;13x13;15474200
1;80x45;15x15;20047900
5;1280x720;3x3;219643700
5;1280x720;5x5;791713800
5;1280x720;7x7;1573548800
5;1280x720;9x9;2564385200
5;1280x720;11x11;3544557300
5;1280x720;13x13;4800326600
5;1280x720;15x15;6506997300
4;640x360;3x3;69461500
4;640x360;5x5;196019900
4;640x360;7x7;337815700
4;640x360;9x9;520037300
4;640x360;11x11;878057300
4;640x360;13x13;1246709800
4;640x360;15x15;1587428000
3;320x180;3x3;17699100
3;320x180;5x5;54450600
3;320x180;7x7;99828100
3;320x180;9x9;160297200
3;320x180;11x11;236624600
3;320x180;13x13;287037400
3;320x180;15x15;367895700
2;160x90;3x3;3352900
2;160x90;5x5;9624800
2;160x90;7x7;18708600
2;160x90;9x9;34583900
2;160x90;11x11;49247000
2;160x90;13x13;82535700
2;160x90;15x15;86595900
1;80x45;3x3;833500
1;80x45;5x5;2271200
1;80x45;7x7;5194100
1;80x45;9x9;7687700
1;80x45;11x11;10474200
1;80x45;13x13;15097600
1;80x45;15x15;19764500
5;1280x720;3x3;206355900
5;1280x720;5x5;747039700
5;1280x720;7x7;1356754700
5;1280x720;9x9;2319587400
5;1280x720;11x11;3387304800
5;1280x720;13x13;5003151200
5;1280x720;15x15;6539055900
4;640x360;3x3;52075000
4;640x360;5x5;156385000
4;640x360;7x7;313232200
4;640x360;9x9;542392600
4;640x360;11x11;933815400
4;640x360;13x13;1154208500
4;640x360;15x15;1658526300
3;320x180;3x3;17646300
3;320x180;5x5;44480900
3;320x180;7x7;92010500
3;320x180;9x9;140107200
3;320x180;11x11;245728600
3;320x180;13x13;335899100
3;320x180;15x15;441346800
2;160x90;3x3;3588800
2;160x90;5x5;12602000
2;160x90;7x7;20193200
2;160x90;9x9;40007800
2;160x90;11x11;66625400
2;160x90;13x13;84179200
2;160x90;15x15;111463400
1;80x45;3x3;754100
1;80x45;5x5;3210800
1;80x45;7x7;5229500
1;80x45;9x9;7514700
1;80x45;11x11;13743200
1;80x45;13x13;19462600
1;80x45;15x15;25906600
5;1280x720;3x3;255124100
5;1280x720;5x5;723076300
5;1280x720;7x7;1308609600
5;1280x720;9x9;2255239500
5;1280x720;11x11;3520832200
5;1280x720;13x13;5004600400
5;1280x720;15x15;6745827400
4;640x360;3x3;73686400
4;640x360;5x5;190604600
4;640x360;7x7;378328600
4;640x360;9x9;627073500
4;640x360;11x11;972548900
4;640x360;13x13;1409373000
4;640x360;15x15;1518771500
3;320x180;3x3;15849700
3;320x180;5x5;40795800
3;320x180;7x7;89763100
3;320x180;9x9;125687700
3;320x180;11x11;196433500
3;320x180;13x13;271087400
3;320x180;15x15;423876500
2;160x90;3x3;6364900
2;160x90;5x5;12492200
2;160x90;7x7;19640200
2;160x90;9x9;34893900
2;160x90;11x11;62462900
2;160x90;13x13;86656700
2;160x90;15x15;115457300
1;80x45;3x3;846400
1;80x45;5x5;2365100
1;80x45;7x7;4396600
1;80x45;9x9;7195200
1;80x45;11x11;14969000
1;80x45;13x13;18498700
1;80x45;15x15;28035500
5;1280x720;3x3;252325300
5;1280x720;5x5;766120200
5;1280x720;7x7;1512270100
5;1280x720;9x9;2212166300
5;1280x720;11x11;3095961500
5;1280x720;13x13;5004187500
5;1280x720;15x15;5830154800
4;640x360;3x3;70355400
4;640x360;5x5;202566900
4;640x360;7x7;401046700
4;640x360;9x9;657866900
4;640x360;11x11;1002434500
4;640x360;13x13;1139349900
4;640x360;15x15;1434851500
3;320x180;3x3;12661700
3;320x180;5x5;40376900
3;320x180;7x7;76640500
3;320x180;9x9;127160300
3;320x180;11x11;202548600
3;320x180;13x13;261586100
3;320x180;15x15;353744900
2;160x90;3x3;3208700
2;160x90;5x5;9254800
2;160x90;7x7;18733700
2;160x90;9x9;30062500
2;160x90;11x11;48885200
2;160x90;13x13;64174000
2;160x90;15x15;90805000
1;80x45;3x3;754700
1;80x45;5x5;2244500
1;80x45;7x7;4329800
1;80x45;9x9;7329200
1;80x45;11x11;10256400
1;80x45;13x13;17208200
1;80x45;15x15;18662200
5;1280x720;3x3;193933400
5;1280x720;5x5;614069200
5;1280x720;7x7;1214395500
5;1280x720;9x9;2477238900
5;1280x720;11x11;3302265200
5;1280x720;13x13;4341813100
5;1280x720;15x15;6068243400
4;640x360;3x3;51662400
4;640x360;5x5;150393200
4;640x360;7x7;307050200
4;640x360;9x9;510424700
4;640x360;11x11;806275300
4;640x360;13x13;1168527200
4;640x360;15x15;1849323200
3;320x180;3x3;19659400
3;320x180;5x5;46294400
3;320x180;7x7;98354900
3;320x180;9x9;180049900
3;320x180;11x11;261399200
3;320x180;13x13;351145000
3;320x180;15x15;360829700
2;160x90;3x3;3044000
2;160x90;5x5;10194900
2;160x90;7x7;18957100
2;160x90;9x9;31801200
2;160x90;11x11;45677600
2;160x90;13x13;74919100
2;160x90;15x15;91228900
1;80x45;3x3;1858000
1;80x45;5x5;2546600
1;80x45;7x7;4324400
1;80x45;9x9;7281600
1;80x45;11x11;12374400
1;80x45;13x13;16508500
1;80x45;15x15;23336200
5;1280x720;3x3;213381900
5;1280x720;5x5;626767400
5;1280x720;7x7;1281614900
5;1280x720;9x9;2061209900
5;1280x720;11x11;3755395500
5;1280x720;13x13;4822686600
5;1280x720;15x15;6768200400
4;640x360;3x3;61044600
4;640x360;5x5;176628900
4;640x360;7x7;313748100
4;640x360;9x9;513348500
4;640x360;11x11;772419200
4;640x360;13x13;1089462100
4;640x360;15x15;1572280100
3;320x180;3x3;12465500
3;320x180;5x5;39441600
3;320x180;7x7;78437100
3;320x180;9x9;127222200
3;320x180;11x11;204312100
3;320x180;13x13;273191700
3;320x180;15x15;366012200
2;160x90;3x3;3101900
2;160x90;5x5;9568000
2;160x90;7x7;18328500
2;160x90;9x9;32307800
2;160x90;11x11;46967600
2;160x90;13x13;64045100
2;160x90;15x15;83042300
1;80x45;3x3;750900
1;80x45;5x5;2158900
1;80x45;7x7;4577900
1;80x45;9x9;7198400
1;80x45;11x11;10841900
1;80x45;13x13;14714400
1;80x45;15x15;19823000
5;1280x720;3x3;199849700
5;1280x720;5x5;641145100
5;1280x720;7x7;1241379200
5;1280x720;9x9;2043743300
5;1280x720;11x11;3047938400
5;1280x720;13x13;4573221500
5;1280x720;15x15;6324655700
4;640x360;3x3;62332400
4;640x360;5x5;163233700
4;640x360;7x7;306900100
4;640x360;9x9;668026400
4;640x360;11x11;1006940600
4;640x360;13x13;1354855000
4;640x360;15x15;1557025900
3;320x180;3x3;16100600
3;320x180;5x5;47261000
3;320x180;7x7;81303900
3;320x180;9x9;138309400
3;320x180;11x11;205159700
3;320x180;13x13;277850500
3;320x180;15x15;383247200
2;160x90;3x3;3040500
2;160x90;5x5;9939500
2;160x90;7x7;18208800
2;160x90;9x9;30395500
2;160x90;11x11;51156600
2;160x90;13x13;62891900
2;160x90;15x15;87199900
1;80x45;3x3;766800
1;80x45;5x5;2493000
1;80x45;7x7;4441600
1;80x45;9x9;7041200
1;80x45;11x11;10636300
1;80x45;13x13;15271100
1;80x45;15x15;19472900
5;1280x720;3x3;204767100
5;1280x720;5x5;658653000
5;1280x720;7x7;1280612900
5;1280x720;9x9;2451932100
5;1280x720;11x11;3387542200
5;1280x720;13x13;4468122800
5;1280x720;15x15;6769340500
4;640x360;3x3;56815100
4;640x360;5x5;172280900
4;640x360;7x7;358384300
4;640x360;9x9;583901400
4;640x360;11x11;936741000
4;640x360;13x13;1387910800
4;640x360;15x15;1925362600
3;320x180;3x3;18501800
3;320x180;5x5;59494600
3;320x180;7x7;114495700
3;320x180;9x9;155148800
3;320x180;11x11;238487000
3;320x180;13x13;316037600
3;320x180;15x15;387553900
2;160x90;3x3;2983800
2;160x90;5x5;12499800
2;160x90;7x7;22136400
2;160x90;9x9;40824200
2;160x90;11x11;54250000
2;160x90;13x13;78806300
2;160x90;15x15;108794000
1;80x45;3x3;783700
1;80x45;5x5;2164600
1;80x45;7x7;4308800
1;80x45;9x9;6938500
1;80x45;11x11;10517800
1;80x45;13x13;15122100
1;80x45;15x15;20192800
5;1280x720;3x3;251657100
5;1280x720;5x5;735417600
5;1280x720;7x7;1584032700
5;1280x720;9x9;2583753900
5;1280x720;11x11;3614684700
5;1280x720;13x13;5111768600
5;1280x720;15x15;6689190400
4;640x360;3x3;53623800
4;640x360;5x5;207409100
4;640x360;7x7;378071300
4;640x360;9x9;599160600
4;640x360;11x11;958566600
4;640x360;13x13;1383980700
4;640x360;15x15;1812356400
