size;resolution;mask_size;nanoseconds
5;1280x720;5x5;43017000
5;1280x720;7x7;81202500
5;1280x720;9x9;134931700
5;1280x720;11x11;193938300
5;1280x720;13x13;282762300
5;1280x720;15x15;410989900
4;640x360;3x3;6321000
4;640x360;5x5;13302000
4;640x360;7x7;21705800
4;640x360;9x9;37383000
4;640x360;11x11;55527000
4;640x360;13x13;77041200
4;640x360;15x15;98852800
3;320x180;3x3;1717300
3;320x180;5x5;3448700
3;320x180;7x7;6097400
3;320x180;9x9;9189900
3;320x180;11x11;13412500
3;320x180;13x13;18416300
3;320x180;15x15;24590200
2;160x90;3x3;1173100
2;160x90;5x5;1818600
2;160x90;7x7;3308800
2;160x90;9x9;4962300
2;160x90;11x11;6982600
2;160x90;13x13;9201600
2;160x90;15x15;12040400
1;80x45;3x3;1098000
1;80x45;5x5;1428200
1;80x45;7x7;2136600
1;80x45;9x9;3165400
1;80x45;11x11;4296400
1;80x45;13x13;5754800
1;80x45;15x15;7363700
5;1280x720;3x3;20668700
5;1280x720;5x5;46856600
5;1280x720;7x7;86432400
5;1280x720;9x9;140374900
5;1280x720;11x11;203518300
5;1280x720;13x13;287461400
5;1280x720;15x15;381752000
4;640x360;3x3;5744600
4;640x360;5x5;12389300
4;640x360;7x7;22897200
4;640x360;9x9;35792900
4;640x360;11x11;54281300
4;640x360;13x13;75493300
4;640x360;15x15;98819500
3;320x180;3x3;1643500
3;320x180;5x5;3436000
3;320x180;7x7;5801600
3;320x180;9x9;9250200
3;320x180;11x11;13491800
3;320x180;13x13;20532900
3;320x180;15x15;25864100
2;160x90;3x3;1217100
2;160x90;5x5;1895300
2;160x90;7x7;3121500
2;160x90;9x9;4868300
2;160x90;11x11;6802000
2;160x90;13x13;9194300
2;160x90;15x15;11822600
1;80x45;3x3;836100
1;80x45;5x5;1583300
1;80x45;7x7;2160700
1;80x45;9x9;3194100
1;80x45;11x11;4425600
1;80x45;13x13;6006500
1;80x45;15x15;7753500
5;1280x720;3x3;19604200
5;1280x720;5x5;46512500
5;1280x720;7x7;88901100
5;1280x720;9x9;149728100
5;1280x720;11x11;214213400
