size;resolution;mask_size;nanoseconds
4;640x360;5x5;1592000
4;640x360;7x7;1819800
4;640x360;9x9;6805800
4;640x360;11x11;2201700
4;640x360;13x13;2645500
4;640x360;15x15;3051100
3;320x180;3x3;985800
3;320x180;5x5;976800
3;320x180;7x7;987700
3;320x180;9x9;1058800
3;320x180;11x11;1126000
3;320x180;13x13;1241400
3;320x180;15x15;1513500
2;160x90;3x3;861700
2;160x90;5x5;978900
2;160x90;7x7;1191800
2;160x90;9x9;1098200
2;160x90;11x11;828800
2;160x90;13x13;753300
2;160x90;15x15;855900
1;80x45;3x3;837400
1;80x45;5x5;797300
1;80x45;7x7;830900
1;80x45;9x9;910000
1;80x45;11x11;866700
1;80x45;13x13;936300
1;80x45;15x15;1003800
5;1280x720;3x3;7134400
5;1280x720;5x5;7742700
5;1280x720;7x7;9354900
5;1280x720;9x9;11148400
5;1280x720;11x11;14371100
5;1280x720;13x13;17830400
5;1280x720;15x15;21951500
4;640x360;3x3;2259500
4;640x360;5x5;2602800
4;640x360;7x7;2913200
4;640x360;9x9;3259400
4;640x360;11x11;3808200
4;640x360;13x13;4264200
4;640x360;15x15;4773200
3;320x180;3x3;1063300
3;320x180;5x5;1355300
3;320x180;7x7;1426000
3;320x180;9x9;1498200
3;320x180;11x11;1597100
3;320x180;13x13;1936700
3;320x180;15x15;2071500
2;160x90;3x3;1119600
2;160x90;5x5;1139500
2;160x90;7x7;689500
2;160x90;9x9;711100
2;160x90;11x11;1170700
2;160x90;13x13;1209800
2;160x90;15x15;940600
1;80x45;3x3;591800
1;80x45;5x5;815200
1;80x45;7x7;705600
1;80x45;9x9;1287300
1;80x45;11x11;986800
1;80x45;13x13;1138300
1;80x45;15x15;1293300
5;1280x720;3x3;6814700
5;1280x720;5x5;7153500
5;1280x720;7x7;8364300
5;1280x720;9x9;10144300
5;1280x720;11x11;12146600
5;1280x720;13x13;14343600
5;1280x720;15x15;16726400
4;640x360;3x3;2202400
4;640x360;5x5;1914700
4;640x360;7x7;2189700
4;640x360;9x9;2627500
4;640x360;11x11;3713500
4;640x360;13x13;3760500
4;640x360;15x15;3903200
3;320x180;3x3;959700
3;320x180;5x5;1423700
3;320x180;7x7;1047900
3;320x180;9x9;1087900
3;320x180;11x11;1150700
3;320x180;13x13;1258900
3;320x180;15x15;1457200
2;160x90;3x3;618800
2;160x90;5x5;960500
2;160x90;7x7;1419800
2;160x90;9x9;795300
2;160x90;11x11;832300
2;160x90;13x13;948300
2;160x90;15x15;946700
1;80x45;3x3;592600
1;80x45;5x5;550500
1;80x45;7x7;609800
1;80x45;9x9;649900
1;80x45;11x11;658600
1;80x45;13x13;6968900
1;80x45;15x15;865900
5;1280x720;3x3;6679300
5;1280x720;5x5;6956200
5;1280x720;7x7;8186900
5;1280x720;9x9;8940400
5;1280x720;11x11;10914400
5;1280x720;13x13;12304600
5;1280x720;15x15;14647900
4;640x360;3x3;2219700
4;640x360;5x5;2214400
4;640x360;7x7;2001000
4;640x360;9x9;2208600
4;640x360;11x11;2667100
4;640x360;13x13;3039500
4;640x360;15x15;3550900
3;320x180;3x3;945200
3;320x180;5x5;993700
3;320x180;7x7;1059300
3;320x180;9x9;1118500
